category,unicode,name,browser
Lu,U+041A,CYRILLIC CAPITAL LETTER KA,К
Lu,U+041B,CYRILLIC CAPITAL LETTER EL,Л
Lu,U+041C,CYRILLIC CAPITAL LETTER EM,М
Lu,U+041D,CYRILLIC CAPITAL LETTER EN,Н
Lu,U+041E,CYRILLIC CAPITAL LETTER O,О
Lu,U+041F,CYRILLIC CAPITAL LETTER PE,П
Lu,U+0420,CYRILLIC CAPITAL LETTER ER,Р
Lu,U+0421,CYRILLIC CAPITAL LETTER ES,С
Lu,U+0422,CYRILLIC CAPITAL LETTER TE,Т
Lu,U+0423,CYRILLIC CAPITAL LETTER U,У
Lu,U+0424,CYRILLIC CAPITAL LETTER EF,Ф
Lu,U+0425,CYRILLIC CAPITAL LETTER HA,Х
Lu,U+0426,CYRILLIC CAPITAL LETTER TSE,Ц
Lu,U+0427,CYRILLIC CAPITAL LETTER CHE,Ч
Lu,U+0428,CYRILLIC CAPITAL LETTER SHA,Ш
Lu,U+0429,CYRILLIC CAPITAL LETTER SHCHA,Щ
Lu,U+042A,CYRILLIC CAPITAL LETTER HARD SIGN,Ъ
Lu,U+042B,CYRILLIC CAPITAL LETTER YERU,Ы
Lu,U+042C,CYRILLIC CAPITAL LETTER SOFT SIGN,Ь
Lu,U+042D,CYRILLIC CAPITAL LETTER E,Э
Lu,U+042E,CYRILLIC CAPITAL LETTER YU,Ю
Lu,U+042F,CYRILLIC CAPITAL LETTER YA,Я
Lu,U+0460,CYRILLIC CAPITAL LETTER OMEGA,Ѡ
Lu,U+0462,CYRILLIC CAPITAL LETTER YAT,Ѣ
Lu,U+0464,CYRILLIC CAPITAL LETTER IOTIFIED E,Ѥ
Lu,U+0466,CYRILLIC CAPITAL LETTER LITTLE YUS,Ѧ
Lu,U+0468,CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS,Ѩ
Lu,U+046A,CYRILLIC CAPITAL LETTER BIG YUS,Ѫ
Lu,U+046C,CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS,Ѭ
Lu,U+046E,CYRILLIC CAPITAL LETTER KSI,Ѯ
Lu,U+0470,CYRILLIC CAPITAL LETTER PSI,Ѱ
Lu,U+0472,CYRILLIC CAPITAL LETTER FITA,Ѳ
Lu,U+0474,CYRILLIC CAPITAL LETTER IZHITSA,Ѵ
Lu,U+0476,CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT,Ѷ
Lu,U+0478,CYRILLIC CAPITAL LETTER UK,Ѹ
Lu,U+047A,CYRILLIC CAPITAL LETTER ROUND OMEGA,Ѻ
Lu,U+047C,CYRILLIC CAPITAL LETTER OMEGA WITH TITLO,Ѽ
Lu,U+047E,CYRILLIC CAPITAL LETTER OT,Ѿ
