category,unicode,name,browser
Nd,U+11458,NEWA DIGIT EIGHT,𑑘
Nd,U+11459,NEWA DIGIT NINE,𑑙
Nd,U+114D0,TIRHUTA DIGIT ZERO,𑓐
Nd,U+114D1,TIRHUTA DIGIT ONE,𑓑
Nd,U+114D2,TIRHUTA DIGIT TWO,𑓒
Nd,U+114D3,TIRHUTA DIGIT THREE,𑓓
Nd,U+114D4,TIRHUTA DIGIT FOUR,𑓔
Nd,U+114D5,TIRHUTA DIGIT FIVE,𑓕
Nd,U+114D6,TIRHUTA DIGIT SIX,𑓖
Nd,U+114D7,TIRHUTA DIGIT SEVEN,𑓗
Nd,U+114D8,TIRHUTA DIGIT EIGHT,𑓘
Nd,U+114D9,TIRHUTA DIGIT NINE,𑓙
Nd,U+11650,MODI DIGIT ZERO,𑙐
Nd,U+11651,MODI DIGIT ONE,𑙑
Nd,U+11652,MODI DIGIT TWO,𑙒
